運行日,運行ID1,トリップ番号,トリップの起点時刻,起点の道路種別コード,経度_origin,緯度_origin,トリップの終点時刻,終点の道路種別コード,経度_destination,緯度_destination,自動車の用途,edge_id_origin,edge_id_destination,rou_id
20211003,198179,8,20211003193626,3,139.86644,35.98521,20211003194410,3,139.83472,35.99561,4,cluster_1347516034_1347516084N,11049063477N,20211003_198179_8
20211003,198179,9,20211003221538,3,139.82348,35.9938,20211003221538,3,139.82348,35.9938,4,11061841979N,11061841980N,20211003_198179_9
20211003,198179,10,20211003221639,3,139.81466,35.98908,20211003222045,3,139.7958,35.99882,4,1340743284N,1340783909N,20211003_198179_10
20211003,198247,7,20211003193932,3,139.70007,35.92821,20211003200429,3,139.87794,35.80094,0,4527577414N,6288519490N,20211003_198247_7
20211003,198285,2,20211003155214,3,139.89998,35.87798,20211003155933,3,139.86674,35.82979,3,cluster_1503594210_7947221530N,2941850614N,20211003_198285_2
20211003,198285,3,20211003173915,3,139.86609,35.82985,20211003174552,3,139.89942,35.87785,3,547803681N,cluster_1503594210_7947221530N,20211003_198285_3
20211003,198334,3,20211003124054,3,139.87813,35.80015,20211003124830,3,139.89801,35.87716,0,465291269N,cluster_5680870339_5680870349N,20211003_198334_3
20211003,198403,7,20211003231920,3,139.80191,35.80004,20211003232023,3,139.80242,35.80265,2,J96N,6901431011N,20211003_198403_7
20211003,198406,1,20211003121237,3,139.82972,35.84468,20211003121732,3,139.86403,35.83274,1,cluster_1517784608_6295313950N,547803688N,20211003_198406_1
20211003,198406,2,20211003124155,3,139.85269,35.82675,20211003124510,3,139.82799,35.80021,1,1520951272N,cluster_5620955863_9967280109N,20211003_198406_2
20211003,198420,3,20211003140948,1,139.82802,35.80035,20211003142445,2,139.86472,35.85479,2,559436170N,907583057N,20211003_198420_3
20211003,198420,4,20211003152211,2,139.86635,35.85225,20211003153347,2,139.87825,35.8268,2,945016916N,6731365097N,20211003_198420_4
20211003,198420,5,20211003175006,2,139.87924,35.82483,20211003181100,3,139.82654,35.87749,2,cluster_1987887035_3475907824N,504132580N,20211003_198420_5
20211003,198420,6,20211003194549,2,139.83217,35.88009,20211003203207,1,139.82812,35.80037,2,1387610406N,559436170N,20211003_198420_6
20211003,198455,7,20211003094908,3,139.79257,35.99944,20211003101324,3,139.88269,35.88912,3,10784499818N,6062111707N,20211003_198455_7
20211003,198455,8,20211003101420,3,139.88713,35.88178,20211003102323,3,139.88262,35.84047,3,cluster_11296421928_11309724896_1349174978N,465281669N,20211003_198455_8
20211003,198455,9,20211003102410,3,139.88379,35.83552,20211003103100,3,139.88426,35.80101,3,944767469N,6300552522N,20211003_198455_9
20211003,198455,20,20211003121705,3,139.87832,35.80006,20211003122536,3,139.89986,35.87817,3,465291269N,cluster_11662327527_1503594335N,20211003_198455_20
20211003,198455,22,20211003134020,3,139.89951,35.99282,20211003134141,3,139.88952,35.999,3,1355081768N,11069313681N,20211003_198455_22
20211003,198591,11,20211003040244,3,139.76066,35.80073,20211003043545,3,139.80188,35.80028,2,cluster_10108597094_1993130466N,J96N,20211003_198591_11
20211003,198618,5,20211003221200,0,139.70166,35.84691,20211003222351,2,139.87822,35.80033,3,2550132181N,465291269N,20211003_198618_5
20211003,198657,2,20211003095333,0,139.8988883,35.8774741,20211003095909,2,139.8676712,35.8620566,4,5478033280N,871752081N,20211003_198657_2
20211003,198657,3,20211003112912,2,139.8706514,35.8548276,20211003112912,2,139.8706514,35.8548276,4,cluster_11247591054_11247591062_11247591087_11247602940_#4moreN,cluster_11247591054_11247591062_11247591087_11247602940_#4moreN,20211003_198657_3
20211003,198657,4,20211003125735,2,139.8766312,35.8498583,20211003130425,0,139.8990983,35.877774,4,cluster_11329220423_11329220430_11329220433_12035858464_#1moreN,5478033279N,20211003_198657_4
20211003,198724,1,20211003055404,3,139.71521,35.94754,20211003062325,3,139.73137,35.80129,0,cluster_1342344919_1342346712N,cluster_1168290123_1877033740_9954599989_9954599991_#4moreN,20211003_198724_1
