運行日,運行ID1,トリップ番号,自動車の用途,トリップの起点時刻,起点の道路種別コード,経度_origin,緯度_origin,トリップの終点時刻,終点の道路種別コード,経度_destination,緯度_destination,edge_id_origin,edge_id_destination,rou_id
20211003,69793,3,1,20211003201107,0,139.9638298,35.9319381,20211003202731,1,139.821039,35.7502614,350010536N,7902559675N,20211003_69793_3
20211003,69821,1,1,20211003123034,2,139.9297991,35.7888866,20211003123244,2,139.9240697,35.7860866,1295607139N,1295607139N,20211003_69821_1
20211003,69821,2,1,20211003123518,2,139.9154509,35.7810168,20211003125816,2,139.8493563,35.7514016,1295607139N,2381951330N,20211003_69821_2
20211003,69821,6,1,20211003170144,1,139.8208689,35.7514212,20211003170719,1,139.8472445,35.8163527,7902559674N,11122648165N,20211003_69821_6
20211003,69852,1,1,20211003233056,2,139.8635647,35.7630102,20211003233535,2,139.8485564,35.7503517,1417152390N,2381951330N,20211003_69852_1
20211003,69853,1,1,20211003084739,2,139.9990492,35.8774261,20211003094526,2,139.859365,35.7601806,cluster_11708707548_1503594058N,1417152390N,20211003_69853_1
20211003,69853,2,1,20211003163358,2,139.8566457,35.7507717,20211003171806,2,139.9995092,35.8774861,1417152390N,cluster_11708707548_1503594058N,20211003_69853_2
20211003,69872,1,1,20211003072118,2,139.6497289,35.9219944,20211003072957,2,139.6254293,35.9630765,1343291446N,4057411508N,20211003_69872_1
20211003,69873,1,1,20211003095613,2,139.6489383,35.9396219,20211003100635,2,139.6253602,35.9433798,271728932N,3328446438N,20211003_69873_1
20211003,69873,3,1,20211003214545,2,139.6256695,35.9594571,20211003215435,3,139.6593869,35.9493212,4057411508N,9969611476N,20211003_69873_3
20211003,69901,1,1,20211003160329,2,139.6310538,35.7916608,20211003160750,2,139.6447026,35.7864922,1165290867N,2622527330N,20211003_69901_1
20211003,70068,1,1,20211003134418,2,139.82422,35.76149,20211003140435,2,139.80524,35.79132,1347548388N,1179209403N,20211003_70068_1
20211003,70068,2,1,20211003145130,2,139.80264,35.79065,20211003150802,2,139.82399,35.75963,cluster_1498816152_2395901241_2395901258_2395901263_#3moreN,1347548388N,20211003_70068_2
20211003,70110,1,1,20211003080717,2,139.6699558,35.9498515,20211003082858,1,139.8048699,35.7612896,9969611476N,7902559675N,20211003_70110_1
20211003,70110,2,1,20211003142120,1,139.820869,35.7509313,20211003143813,0,139.7060231,35.9164469,7902559674N,4248960562N,20211003_70110_2
20211003,70151,1,1,20211003113506,2,139.63159,35.85489,20211003113559,2,139.63252,35.85137,2550123400N,2550123401N,20211003_70151_1
20211003,70151,2,1,20211003173618,2,139.62572,35.85932,20211003173635,2,139.6252,35.86108,2665682059N,2665682059N,20211003_70151_2
20211003,70151,3,1,20211003182118,2,139.62505,35.86143,20211003182342,2,139.62726,35.85578,2665682059N,2550123401N,20211003_70151_3
20211003,70185,1,1,20211003102810,2,139.6327822,35.8495729,20211003103222,2,139.628053,35.8410539,2550123400N,2550123401N,20211003_70185_1
20211003,70185,2,1,20211003105137,2,139.6360127,35.8294953,20211003111247,0,139.9121673,35.887632,1174868544N,350010550N,20211003_70185_2
20211003,70212,1,1,20211003115112,2,139.6817007,35.7514172,20211003120304,2,139.7381851,35.7723063,cluster_1415588159_9369282555N,9309552105N,20211003_70212_1
20211003,70212,2,1,20211003121827,2,139.7382251,35.7723063,20211003123136,2,139.6827006,35.7513573,9309552105N,cluster_1415588159_9369282555N,20211003_70212_2
20211003,70212,3,1,20211003141101,2,139.6754411,35.7546367,20211003143145,2,139.6252842,35.7996393,2323880604N,1165290867N,20211003_70212_3
20211003,70212,4,1,20211003152341,2,139.6254045,35.7794726,20211003152837,2,139.6444032,35.7697942,2622527330N,2622527330N,20211003_70212_4
20211003,70212,5,1,20211003153927,2,139.6567623,35.7661248,20211003154415,2,139.675221,35.7562865,2622527330N,2323880604N,20211003_70212_5
20211003,70357,1,1,20211003103549,2,139.6864287,35.8075297,20211003105018,1,139.7084785,35.7511181,3798970268N,5432829255N,20211003_70357_1
20211003,70386,1,1,20211003093836,2,139.9598843,35.8238743,20211003095836,2,139.9995094,35.8517903,9383255167N,9958550434N,20211003_70386_1
20211003,70425,1,1,20211003023423,2,139.8388962,35.7761983,20211003025302,2,139.7583626,35.7913547,cluster_1482298435_5896165668N,cluster_2639133223_2639133224N,20211003_70425_1
20211003,70425,2,1,20211003180133,2,139.7594425,35.7899849,20211003181941,2,139.8391263,35.7750284,1952487999N,cluster_1482298435_5896165668N,20211003_70425_2
20211003,70425,3,1,20211003204942,2,139.8389162,35.7763183,20211003210433,2,139.7584225,35.7912747,cluster_1482298435_5896165668N,cluster_2639133223_2639133224N,20211003_70425_3
20211003,70443,3,1,20211003192452,2,139.9999867,35.9340291,20211003193635,0,139.9997337,35.9803541,cluster_1346860599_9485794318N,350010550N,20211003_70443_3
20211003,70485,1,1,20211003100057,2,139.7790496,35.8332789,20211003101546,3,139.7698307,35.8181312,8260956666N,2660005275N,20211003_70485_1
20211003,70485,2,1,20211003104600,2,139.77685,35.8248903,20211003105058,2,139.77406,35.8392975,cluster_1409996354_1409996371N,cluster_1406756586_1406756596_2657863986N,20211003_70485_2
20211003,70485,3,1,20211003134123,2,139.7926584,35.8288804,20211003135449,2,139.8035374,35.827071,1404680115N,cluster_4453134119_6907364292_6907364293N,20211003_70485_3
20211003,70485,4,1,20211003140545,3,139.8035174,35.827111,20211003141911,2,139.7785495,35.8402077,cluster_4453134119_6907364292_6907364293N,1406756621N,20211003_70485_4
20211003,70485,5,1,20211003153259,2,139.7847689,35.8358289,20211003153935,2,139.7929584,35.8257909,10951841166N,301815122N,20211003_70485_5
20211003,70485,6,1,20211003162028,2,139.7928084,35.8263608,20211003162254,2,139.7912983,35.8336095,cluster_1270150159_307379135N,cluster_1180842566_1270150157_6314260035N,20211003_70485_6
20211003,70651,5,1,20211003181919,0,139.6404712,36.0816035,20211003191518,2,139.6821907,35.7508373,370268754N,cluster_1415588159_9369282555N,20211003_70651_5
20211003,70651,6,1,20211003193706,1,139.7364762,35.7503488,20211003200449,0,139.6402112,36.0816735,4361138358N,529143487N,20211003_70651_6
20211003,70666,1,1,20211003093620,2,139.9993717,36.0371673,20211003095237,2,139.9320099,36.007819,1355063850N,1355063850N,20211003_70666_1
20211003,70666,2,1,20211003102504,2,139.9321799,36.0072391,20211003104328,2,139.9891543,36.0180792,1355063850N,1355063850N,20211003_70666_2
20211003,70666,3,1,20211003105959,2,139.9945933,36.0241687,20211003110041,2,139.9991228,36.0242388,1355063850N,1355063850N,20211003_70666_3
