運行日,運行ID1,トリップ番号,自動車の用途,トリップの起点時刻,起点の道路種別コード,経度_origin,緯度_origin,トリップの終点時刻,終点の道路種別コード,経度_destination,緯度_destination
20211003,45399,3,1,20211003151043,2,139.8827535,35.7680891,20211003151043,2,139.8827535,35.7680891
20211003,45399,4,1,20211003151044,2,139.9102617,35.7788269,20211003151044,2,139.9102617,35.7788269
20211003,45399,5,1,20211003151051,2,139.8815935,35.7681591,20211003151051,2,139.8815935,35.7681591
20211003,45399,6,1,20211003151053,2,139.9093019,35.7782669,20211003151053,2,139.9093019,35.7782669
20211003,45399,7,1,20211003151058,2,139.8804436,35.7682291,20211003151234,2,139.8758338,35.7684692
20211003,45399,8,1,20211003151238,2,139.9083319,35.777727,20211003151238,2,139.9083319,35.777727
20211003,45399,9,1,20211003151240,2,139.8746939,35.7684692,20211003151240,2,139.8746939,35.7684692
20211003,45399,10,1,20211003151241,2,139.9082419,35.777717,20211003151246,2,139.9079619,35.777677
20211003,45399,11,1,20211003151247,2,139.873584,35.7681493,20211003151252,2,139.872564,35.7676594
20211003,45399,12,1,20211003151257,2,139.907152,35.7770171,20211003151257,2,139.907152,35.7770171
20211003,45399,13,1,20211003151301,2,139.8715741,35.7671795,20211003151301,2,139.8715741,35.7671795
20211003,45399,14,1,20211003151306,2,139.906182,35.7764973,20211003151306,2,139.906182,35.7764973
20211003,45399,15,1,20211003151445,2,139.8706142,35.7666695,20211003151445,2,139.8706142,35.7666695
20211003,45399,16,1,20211003151457,2,139.9051821,35.7760474,20211003151637,2,139.9021623,35.7746676
20211003,45399,17,1,20211003151641,2,139.8696543,35.7661296,20211003151641,2,139.8696543,35.7661296
20211003,45399,18,1,20211003151646,2,139.9011523,35.7742077,20211003151839,2,139.8960627,35.7719082
20211003,45399,19,1,20211003151846,2,139.8687243,35.7655897,20211003151846,2,139.8687243,35.7655897
20211003,45399,20,1,20211003151847,2,139.8950427,35.7714383,20211003151847,2,139.8950427,35.7714383
20211003,45399,21,1,20211003151848,2,139.8677844,35.7650498,20211003151848,2,139.8677844,35.7650498
20211003,45399,22,1,20211003151854,2,139.8940428,35.7709584,20211003151901,2,139.8930529,35.7704885
20211003,45399,23,1,20211003151902,2,139.8668245,35.7645099,20211003151902,2,139.8668245,35.7645099
20211003,45399,24,1,20211003151909,2,139.8920429,35.7699986,20211003152103,2,139.8855233,35.768149
20211003,45399,25,1,20211003152106,2,139.8658845,35.76396,20211003152106,2,139.8658845,35.76396
20211003,45399,26,1,20211003152111,2,139.8843734,35.7680291,20211003152111,2,139.8843734,35.7680291
20211003,45399,27,1,20211003152123,2,139.8649346,35.7634301,20211003152944,2,139.8592751,35.7601906
20211003,45399,29,1,20211003201013,2,139.8582552,35.7595907,20211003201013,2,139.8582552,35.7595907
20211003,45399,31,1,20211003201024,2,139.8591751,35.7601407,20211003201024,2,139.8591751,35.7601407
