id,departLane,arrivalLane,vType,step1_duration,step1_routeLength,step1_waitingTime,step1_stopTime,step1_timeLoss,step4_duration,step4_routeLength,step4_waitingTime,step4_stopTime,step4_timeLoss
t_20211010_1044988_1,120298701#6_1,-581624585_1,DEFAULT_VEHTYPE,175.00,1412.69,60.00,0.00,97.09,191.00,1412.69,47.00,0.00,81.16
t_20211024_1112613_1,124963612#5_1,124963627#0_1,DEFAULT_VEHTYPE,101.00,1224.01,0.00,0.00,20.93,109.00,1224.01,0.00,0.00,17.68
t_20211017_1539992_1,651184866#1_0,130281026#32_1,DEFAULT_VEHTYPE,353.00,2812.97,80.00,0.00,139.19,346.00,2812.97,101.00,0.00,159.84
t_20211128_412930_4,44420766#4_0,44351425#7_1,DEFAULT_VEHTYPE,464.00,12094.96,0.00,0.00,46.56,504.00,12094.96,0.00,0.00,41.15
t_20211017_482297_3,180099700#0_1,127199105#5_1,DEFAULT_VEHTYPE,197.00,1561.61,39.00,0.00,85.39,190.00,1593.24,40.00,0.00,79.88
t_20211024_2056804_1,80146280#2_1,1264836075#1_1,DEFAULT_VEHTYPE,423.00,4849.37,81.00,0.00,140.92,423.00,4849.37,82.00,0.00,147.16
t_20211010_862071_2,137320755#2_1,651184866#2_0,DEFAULT_VEHTYPE,477.00,3185.74,116.00,0.00,184.69,394.00,3185.74,88.00,0.00,144.17
t_20211003_2664882_1,1184585974#0_1,-617550114#5_1,DEFAULT_VEHTYPE,357.00,3436.19,91.00,0.00,142.72,370.00,3436.19,71.00,0.00,124.23
t_20211024_401968_1,-162165632_1,127200787#4_1,DEFAULT_VEHTYPE,231.00,2076.36,57.00,0.00,109.89,257.00,2076.36,44.00,0.00,97.04
t_20211031_4733800_1,-162056963#6_1,-100827870#1_1,DEFAULT_VEHTYPE,146.00,1496.62,0.00,0.00,24.24,152.00,1496.62,0.00,0.00,27.21
t_20211017_182164_1,796459853#51_0,158179142#4_1,DEFAULT_VEHTYPE,309.00,3644.20,0.00,0.00,46.39,311.00,3644.20,0.00,0.00,42.74
t_20211017_171753_1,28188012_0,-1188207865#3_1,DEFAULT_VEHTYPE,564.00,5600.80,138.00,0.00,208.88,475.00,5600.80,93.00,0.00,164.11
t_20211024_2345631_1,605105364#3_1,233696887#1_1,DEFAULT_VEHTYPE,52.00,541.62,0.00,0.00,9.32,47.00,541.62,0.00,0.00,12.83
t_20211107_156785_1,-819169272#4_1,133720488#6_1,DEFAULT_VEHTYPE,520.00,3816.80,143.00,0.00,222.32,428.00,3816.80,93.00,0.00,174.07
t_20211003_318469_1,128008526#2_1,-223489476#1_1,truck,205.00,1714.85,30.00,0.00,83.77,181.00,1710.33,11.00,0.00,59.19
t_20211107_315149_2,1188207865#3_1,1188210847_1,truck,165.00,1162.03,54.00,0.00,88.12,168.00,1162.03,58.00,0.00,92.92
t_20211121_288198_1,176918448#4_1,-43419654#12_1,DEFAULT_VEHTYPE,151.00,1089.65,49.00,0.00,76.31,150.00,1089.65,57.00,0.00,86.72
t_20211003_486516_1,128187698#5_1,-128187698#5_1,truck,78.00,642.82,0.00,0.00,25.70,72.00,642.82,0.00,0.00,25.41
t_20211017_1054004_1,-963114566#2_1,243877276#1_1,DEFAULT_VEHTYPE,477.00,3821.29,171.00,0.00,234.77,477.00,3821.29,174.00,0.00,232.26
t_20211107_3762479_1,-1013421828_1,1013421828_1,DEFAULT_VEHTYPE,109.00,994.35,5.00,0.00,24.15,109.00,1160.31,2.00,0.00,25.68
t_20211024_2198178_1,103281880#2_1,204496107#1_1,truck,143.00,1213.68,22.00,0.00,59.62,144.00,1213.68,23.00,0.00,57.59
t_20211128_464441_1,226465361#7_1,43419654#1_1,DEFAULT_VEHTYPE,448.00,4137.18,107.00,0.00,186.86,447.00,4137.18,113.00,0.00,193.90
t_20211107_212991_1,-113387317#7_1,951440827#1_1,DEFAULT_VEHTYPE,435.00,3723.24,86.00,0.00,140.77,339.00,3723.24,58.00,0.00,103.37
t_20211114_979552_3,101764677#0_1,243877276#1_0,DEFAULT_VEHTYPE,344.00,2956.00,96.00,0.00,158.81,363.00,2956.00,94.00,0.00,157.74
t_20211121_971183_3,101764677#0_1,243877276#1_1,DEFAULT_VEHTYPE,317.00,2956.00,60.00,0.00,129.74,406.00,2956.00,128.00,0.00,197.34
t_20211107_232601_15,120273887#1_1,120273844#1_1,truck,57.00,576.73,0.00,0.00,16.25,61.00,575.09,0.00,0.00,14.15
t_20211107_3050288_1,101977361#2_1,-101358181#1_1,DEFAULT_VEHTYPE,273.00,1822.24,97.00,0.00,138.48,273.00,1822.24,97.00,0.00,136.23
t_20211024_769983_34,-277743732#1_1,-378600191#0_1,truck,628.00,5917.10,108.00,0.00,224.95,626.00,5917.10,113.00,0.00,245.42
t_20211024_2330963_1,-868233733#3_1,881492508#1_1,DEFAULT_VEHTYPE,282.00,1761.94,71.00,0.00,109.76,159.00,1761.94,15.00,0.00,52.21
t_20211017_811051_1,120273887#1_1,120273844#1_1,DEFAULT_VEHTYPE,54.00,578.83,0.00,0.00,14.67,59.00,577.67,0.00,0.00,8.32
t_20211121_105149_1,-995974549#5_1,-80146280#1_1,DEFAULT_VEHTYPE,530.00,6546.74,67.00,0.00,162.66,563.00,6546.74,45.00,0.00,120.49
t_20211031_1861987_1,-1189270051#0_1,119784587#3_1,DEFAULT_VEHTYPE,239.00,2202.40,46.00,0.00,87.02,239.00,2202.40,40.00,0.00,83.33
t_20211017_2328479_2,53638243#2_1,29199569#9_1,DEFAULT_VEHTYPE,169.00,1164.46,61.00,0.00,92.15,167.00,1164.46,68.00,0.00,99.80
t_20211003_315289_3,-120273844#1_1,-120273887#1_1,truck,57.00,576.36,0.00,0.00,16.38,59.00,576.36,0.00,0.00,13.22
t_20211017_518430_1,-119302363#1_1,128157289#3_1,DEFAULT_VEHTYPE,237.00,2371.16,47.00,0.00,82.15,240.00,2371.16,44.00,0.00,78.43
t_20211114_867665_3,1188021810#2_1,-162112517#1_1,DEFAULT_VEHTYPE,184.00,1053.66,76.00,0.00,106.21,185.00,1053.66,81.00,0.00,113.58
t_20211017_1109373_1,439262438#5_0,849787184#0_0,DEFAULT_VEHTYPE,181.00,1953.00,49.00,0.00,65.43,182.00,1953.00,44.00,0.00,60.30
t_20211128_735283_1,1188207865#3_1,102695241#0_1,DEFAULT_VEHTYPE,586.00,4553.94,180.00,0.00,275.80,575.00,4553.94,203.00,0.00,306.85
t_20211010_2666937_1,973190127#0_1,973405914#3_1,DEFAULT_VEHTYPE,288.00,1810.76,127.00,0.00,167.71,289.00,1810.76,121.00,0.00,164.83
t_20211003_1053804_2,223489476#1_1,-223489476#1_1,truck,163.00,1496.74,24.00,0.00,67.99,166.00,1496.74,21.00,0.00,64.32
